household_id,居住都道府県,居住市区町村
1,神奈川県,横浜市
2,神奈川県,横浜市
3,神奈川県,横浜市
4,神奈川県,横浜市
5,神奈川県,横浜市
6,神奈川県,横浜市
7,神奈川県,横浜市
8,神奈川県,横浜市
9,神奈川県,横浜市
10,神奈川県,横浜市
11,神奈川県,横浜市
12,神奈川県,横浜市
13,神奈川県,横浜市
14,神奈川県,横浜市
15,神奈川県,横浜市
16,神奈川県,横浜市
17,神奈川県,横浜市
18,神奈川県,横浜市
19,神奈川県,横浜市
20,神奈川県,横浜市
21,神奈川県,横浜市
22,神奈川県,横浜市
23,神奈川県,横浜市
24,神奈川県,横浜市
25,神奈川県,横浜市
26,神奈川県,横浜市
27,神奈川県,横浜市
28,神奈川県,横浜市
29,神奈川県,横浜市
30,神奈川県,横浜市
31,神奈川県,横浜市
32,神奈川県,横浜市
33,神奈川県,横浜市
34,神奈川県,横浜市
35,神奈川県,横浜市
36,神奈川県,横浜市
37,神奈川県,横浜市
38,神奈川県,横浜市
39,神奈川県,横浜市
40,神奈川県,横浜市
41,神奈川県,横浜市
42,神奈川県,横浜市
43,神奈川県,横浜市
44,神奈川県,横浜市
45,神奈川県,横浜市
46,神奈川県,横浜市
47,神奈川県,横浜市
48,神奈川県,横浜市
49,神奈川県,横浜市
50,神奈川県,横浜市
51,神奈川県,横浜市
52,神奈川県,横浜市
53,神奈川県,横浜市
54,神奈川県,横浜市
55,神奈川県,横浜市
56,神奈川県,横浜市
57,神奈川県,横浜市
58,神奈川県,横浜市
59,神奈川県,横浜市
60,神奈川県,横浜市
61,神奈川県,横浜市
62,神奈川県,横浜市
63,神奈川県,横浜市
64,神奈川県,横浜市
65,神奈川県,横浜市
66,神奈川県,横浜市
67,神奈川県,横浜市
68,神奈川県,横浜市
69,神奈川県,横浜市
70,神奈川県,横浜市
71,神奈川県,横浜市
72,神奈川県,横浜市
73,神奈川県,横浜市
74,神奈川県,横浜市
75,神奈川県,横浜市
