person_id,household_id,person_role_in_household,誕生年月日,収入,性別
1,3529,子,2025-01-01,0,男性
2,3547,子,2025-01-01,0,男性
3,3334,子,2025-01-01,0,男性
4,3392,子,2025-01-01,0,男性
5,3582,子,2025-01-01,0,男性
6,3146,子,2025-01-01,0,男性
7,3648,子,2025-01-01,0,男性
8,3101,子,2025-01-01,0,男性
9,3620,子,2025-01-01,0,男性
10,3642,子,2025-01-01,0,男性
11,3536,子,2025-01-01,0,男性
12,3165,子,2025-01-01,0,男性
13,3319,子,2025-01-01,0,男性
14,3294,子,2025-01-01,0,男性
15,3565,子,2025-01-01,0,男性
16,3585,子,2025-01-01,0,男性
17,3528,子,2025-01-01,0,男性
18,3314,子,2025-01-01,0,男性
19,3105,子,2025-01-01,0,男性
20,3424,子,2025-01-01,0,男性
21,4284,子,2025-01-01,0,男性
22,3054,子,2025-01-01,0,男性
23,3098,子,2024-01-01,0,男性
24,3497,子,2024-01-01,0,男性
25,3188,子,2024-01-01,0,男性
26,3220,子,2024-01-01,0,男性
27,3498,子,2024-01-01,0,男性
28,3208,子,2024-01-01,0,男性
29,3402,子,2024-01-01,0,男性
30,3667,子,2024-01-01,0,男性
31,4294,子,2024-01-01,0,男性
32,3356,子,2024-01-01,0,男性
33,3458,子,2024-01-01,0,男性
34,3639,子,2024-01-01,0,男性
35,3194,子,2024-01-01,0,男性
36,3692,子,2024-01-01,0,男性
37,3358,子,2024-01-01,0,男性
38,3501,子,2024-01-01,0,男性
39,3131,子,2024-01-01,0,男性
40,3458,子,2024-01-01,0,男性
41,3502,子,2024-01-01,0,男性
42,3444,子,2024-01-01,0,男性
43,3278,子,2024-01-01,0,男性
44,3154,子,2024-01-01,0,男性
45,3546,子,2024-01-01,0,男性
46,3507,子,2024-01-01,0,男性
47,3253,子,2024-01-01,0,男性
48,3676,子,2024-01-01,0,男性
49,3408,子,2024-01-01,0,男性
50,3455,子,2023-01-01,0,男性
51,4297,子,2023-01-01,0,男性
52,3246,子,2023-01-01,0,男性
53,3656,子,2023-01-01,0,男性
54,4305,子,2023-01-01,0,男性
55,3678,子,2023-01-01,0,男性
56,3674,子,2023-01-01,0,男性
57,3044,子,2023-01-01,0,男性
58,3276,子,2023-01-01,0,男性
59,3560,子,2023-01-01,0,男性
60,3684,子,2023-01-01,0,男性
61,3405,子,2023-01-01,0,男性
62,3518,子,2023-01-01,0,男性
63,3331,子,2023-01-01,0,男性
64,4332,子,2023-01-01,0,男性
65,3483,子,2023-01-01,0,男性
66,3604,子,2023-01-01,0,男性
67,3641,子,2023-01-01,0,男性
68,3496,子,2023-01-01,0,男性
69,3448,子,2023-01-01,0,男性
70,3275,子,2023-01-01,0,男性
71,3550,子,2023-01-01,0,男性
72,3101,子,2023-01-01,0,男性
73,3053,子,2022-01-01,0,男性
74,3644,子,2022-01-01,0,男性
75,3061,子,2022-01-01,0,男性
76,4329,子,2022-01-01,0,男性
77,3216,子,2022-01-01,0,男性
78,3426,子,2022-01-01,0,男性
79,3665,子,2022-01-01,0,男性
80,3364,子,2022-01-01,0,男性
81,3203,子,2022-01-01,0,男性
82,3460,子,2022-01-01,0,男性
83,3677,子,2022-01-01,0,男性
84,3625,子,2022-01-01,0,男性
85,3597,子,2022-01-01,0,男性
86,3445,子,2022-01-01,0,男性
87,3312,子,2022-01-01,0,男性
88,3548,子,2022-01-01,0,男性
89,3694,子,2022-01-01,0,男性
90,3115,子,2022-01-01,0,男性
91,3079,子,2022-01-01,0,男性
92,3048,子,2022-01-01,0,男性
93,3659,子,2022-01-01,0,男性
94,3520,子,2022-01-01,0,男性
95,3485,子,2022-01-01,0,男性
96,4310,子,2022-01-01,0,男性
97,3378,子,2022-01-01,0,男性
98,3387,子,2022-01-01,0,男性
